the_geom,feature,clugar,lugar,tipo,ubicacion,fechasuce,url,numvictima,municipio,radio,cartodb_id,created_at,updated_at
0101000020E6100000F6185C8BE075F7BF9B9214832E054540,50200001,46,Fosa de la corraliza de Fustiñana,Intervenida,"La fosa, ya exhumada, se encontraba junto a un camino rural al norte de la localidad, en el término denominado ""Corraliza Vecinal"".",20/11/1936,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=46,7,Fustiñana,10,5,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000016F79410C227FCBF4C2AD9EB182E4540,50200001,47,Fosa de la Venta de Arlás (Peralta),Intervenida,"La Venta de Arlás se sitúa en el término municipal de Peralta, en un cruce de carreteras situado en la proximadad de la ermita de San Pedro.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=47,24,Peralta <> Azkoien,500,6,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000051006700AAC8FABF74B03EA550A04540,50200001,53,Fosa de Batzarleku (Etxalar),Intervenida,"El lugar de los fusilamientos se sitúa en el término municipal de Etxalar, muy próximo al trazado de la carretera N-121-A. El lugar es visible desde el caserío Alaranberri en Lesaka situado al otro lado del río Bidasoa.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=53,3,Etxalar,100,7,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000002DF144A7E64FDBF1B345BBE62574540,50200001,55,"Fosa de la ""Vuelta Chiquito"" (Artazu)",No intervenida,"El emplazamiento de la fosa se encuentra en el municipio de Artazu, cerca del kilómetro 2 de la carretera NA-7040, junto a una curva muy pronunciada. Este paraje es conocido popularmente como la ""vuelta Chiquito"" o Santa Marina.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=55,2,Artazu,100,8,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E610000027DD29F0523AFCBF2436A44D045F4540,50200001,57,Fosas del Alto del Perdón,No intervenida,"Las fosas se ubican en el margen de la antigua carretera N-111 (hoy NA-1110), en los alrededores del Alto del Perdón.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=57,-1,Cizur,500,9,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000E7317A1604DDFABF1B6A6188226D4540,50200001,59,Cementerio de Aizoáin,Prospectada,"Cementerio de Aizoáin, en la ladera sur del monte San Cristobal.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=59,10,Berrioplano <> Berriobeiti,25,10,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000001ACC730411C301C01E1391F9A4764540,50200001,60,Fosa de la antigua N-I (Alsasua),Prospectada,"La fosa se ubicaría junto al kilómetro 401 del antiguo trazado de la N-I, en el término municipal de Alsasua.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=60,-1,Altsasu/Alsasua,200,11,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000008CB9EF3F5D7AFABF6CDADDADAE6B4540,50200001,61,Cementerio de Artica,Prospectada,"Cementerio de la localidad de Artica, entre los kilómetros 0,5 y 1 de la carretera de acceso al Fuerte de San Cristóbal.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=61,17,Berrioplano <> Berriobeiti,25,12,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000EB7686FE3B9600C01592AEE977514540,50200001,62,Fosa de La Llana (Azqueta),Prospectada,"Al sur de la Autovía A-12, en las falda del Montejurra, se encuentra el paraje de la Llana, entre las localidades de Azqueta y Ayegui. Cuando tuvieron lugar los sucesos era un paraje arbolado pero actualmente es un campo de labor.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=62,3,Igúzquiza,250,13,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000006017EC69572AFBBFEE8855AC426F4540,50200001,63,Cementerio de Ballariáin,Prospectada,Pequeño cementerio de la localidad de Ballariáin (Berrioplano) que se encuentra adosado a la Iglesia de San Miguel.,,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=63,12,Berrioplano <> Berriobeiti,10,14,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E61000006B70D46DBD15FBBF3E708CA52AA44540,50200001,64,Cementerio de Bera,Intervenida,"Cementerio de Bera, próximo a la carretera NA-8304, en la salida de la localidad hacia Irun.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=64,7,Bera,5,15,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000E331087E2324FBBFECC798DDC86C4540,50200001,65,Cementerio de Berrioplano,Prospectada,"Situado en el camino de Lindurbe, junto a un pequeño bosque, al sur de la localidad de Berrioplano.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=65,13,Berrioplano <> Berriobeiti,25,16,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000A4B6FD790387FABF60501F23E11E4540,50200001,68,Corral de Valcaldera,Intervenida,"El corral se encontraba junto a la carretera N-121 entre los puntos kilométricos 68 y 69. Actualmente existe una granja en este lugar, no quedando más que algún resto de lo que fue el corral.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=68,51,Cadreita,25,18,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000D1F2A39A0703F7BFECDE211594FC4440,50200001,70,Fosa del Cementerio de Buñuel,Prospectada,"Cementerio de Buñuel situado junto a  la carretera NA-5200, que comunica con la vecina localidad de Cortes.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=70,7,Buñuel,50,19,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000200B9BEA3A96FABF0CEDD80274014540,50200001,71,Fosa de Urzante,Intervenida,"Se trata del pequeño cementerio del despoblado de Urzante. El lugar se encuentra en una zona elevada a unos 40 metros de la carretera N-121-C, entre las localidades de Cascante y Murchante.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=71,21,Cascante,50,20,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000E5C1A4EB2EB8EEBF1EA0517BA6664540,50200001,72,Fosa del Cementerio de Roncal,Intervenida,Cementerio de la localidad de Roncal.,23/10/1939,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=72,1,Roncal <> Erronkari,25,21,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
0101000020E6100000140F2ACB4A3503C034B6E6F1C74E4540,50200001,73,Fosa de Aguilar de Codés,Intervenida,"Fosa situada al noroeste de Aguilar de Codés, junto a la carretera de Cabredo (NA-7200), entre los kilómetros 15 y 16.",,http://fosas.navarra.es/DetalleFosa.aspx?IDFosa=73,3,Aguilar de Codés,50,22,2015-05-10 14:23:58.658314+00,2015-05-10 14:23:58.658314+00
